B lat lon SMp Cab Cdm Cw Cs Cca Cant N LAI LIDFa LIDFb hot Pa aot550 uo3 alt_m Pa0 tts tto psi
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 20 320
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 20 330
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 20 340
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 20 350
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 20 360
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 0
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 10
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 20
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 30
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 40
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 50
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 60
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 70
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 80
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 90
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 100
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 110
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 120
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 130
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 140
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 150
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 160
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 170
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 180
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 30 190
